Move,From_Sqaure,Target_Sqaure,Piece_Moved,Piece_Captured,Is_Check,Top_10_Moves,Is_Capture
e7e6,e7,e6,p,,0,"['d8c8', 'd8d7', 'f6h5', 'e7e6', 'd8b6', 'g7g6', 'a7a6', 'h7h6', 'g4f3', 'a8c8']",1
f8d6,f8,d6,b,,0,"['f8d6', 'f8e7', 'g4h5', 'a8c8', 'f6h5', 'd8b6', 'h7h6', 'a7a6', 'a7a5', 'g7g6']",1
d6e7,d6,e7,b,,0,"['d8b6', 'h7h6', 'd8c7', 'a7a5', 'a7a6', 'd8c8', 'g4h5', 'd8b8', 'e8g8', 'd6e7']",1
e8g8,e8,g8,k,,0,"['e8g8', 'd8c7', 'e7d6', 'a8c8', 'a7a6', 'h7h6', 'd8b6', 'a7a5', 'f6h5', 'g4f5']",1
g4h5,g4,h5,b,,0,"['g4h5', 'g4f5', 'g4f3', 'f6e4', 'f6d7', 'f6e8', 'h7h6', 'e6e5', 'h7h5', 'g4h3']",1
a8c8,a8,c8,r,,0,"['h7h6', 'h5g6', 'a7a6', 'a8c8', 'b7b6', 'a7a5', 'f8e8', 'g8h8', 'a8b8', 'h5f3']",1
e7f6,e7,f6,b,B,0,"['g7f6', 'e7f6', 'c6b4', 'h5f3', 'h5g6', 'd8c7', 'd8d7', 'd8b6', 'f8e8', 'a7a6']",1
g8h8,g8,h8,k,,0,['g8h8'],1
c6d4,c6,d4,n,P,0,"['c6d4', 'e6e5', 'h5f3', 'c8c7', 'f6e7', 'f8e8', 'c6b4', 'c6e7', 'a7a5', 'd8d7']",1
f6d4,f6,d4,b,N,0,"['f6d4', 'e6e5', 'f6e5', 'c8c7', 'b7b5', 'a7a6', 'd8e7', 'd8b6', 'b7b6', 'h5g4']",1
d8h4,d8,h4,q,,0,"['d8h4', 'd8g5', 'h5g4', 'h5g6', 'd8f6', 'd4c5', 'd4b6', 'a7a6', 'c8c7', 'f7f5']",1
h4h3,h4,h3,q,P,0,"['h4h3', 'h4g3', 'b7b6', 'c8c5', 'a7a5', 'g7g6', 'b7b5', 'h4h5', 'g7g5', 'f8g8']",1
d4b6,d4,b6,b,,0,"['h3g4', 'd4b6', 'h3g3', 'd4e5', 'd4c5', 'g7g6', 'c8c3', 'e6e5', 'c8c5', 'f7f6']",1
d5d4,d5,d4,p,,0,"['e6e5', 'h3g3', 'b6c7', 'c8c4', 'c8e8', 'c8c6', 'h8g8', 'd5d4', 'f7f5', 'f8d8']",1
a7a5,a7,a5,p,,0,"['b6c7', 'f7f5', 'f8e8', 'c8c6', 'c8e8', 'f8g8', 'c8d8', 'h8g8', 'f7f6', 'g7g6']",1
c8c5,c8,c5,r,,0,"['c8c5', 'b6c7', 'b6c5', 'c8e8', 'c8c6', 'f7f5', 'a5a4', 'c8c7', 'f8g8', 'g7g5']",1
c5h5,c5,h5,r,P,0,"['c5h5', 'b6c7', 'h3g4', 'f7f6', 'g7g6', 'f8c8', 'h3h5', 'f8a8', 'f8b8', 'c5f5']",1
h5g5,h5,g5,r,,1,"['h5g5', 'h5h4', 'h3h4', 'h5h6', 'g7g6', 'h5c5', 'h5h7', 'h5b5', 'h5f5', 'h5d5']",1
c7c6,c7,c6,p,,0,"['d7d5', 'c7c5', 'b8c6', 'g8f6', 'e7e5', 'c7c6', 'd7d6', 'e7e6', 'b7b6', 'a7a5']",1
d7d5,d7,d5,p,,0,"['g8f6', 'e7e5', 'd7d5', 'a7a6', 'g7g6', 'c6c5', 'e7e6', 'h7h6', 'd8c7', 'd7d6']",1
c6d5,c6,d5,p,P,0,"['c6d5', 'd8d5', 'd8a5', 'g7g6', 'c8f5', 'b7b6', 'g8h6', 'h7h5', 'd8c7', 'a7a6']",1
g8f6,g8,f6,n,,0,"['g8f6', 'g7g6', 'c8f5', 'd8a5', 'h7h6', 'a7a6', 'b8c6', 'f7f6', 'd8d6', 'h7h5']",1
b8c6,b8,c6,n,,0,"['g7g6', 'e7e6', 'a7a6', 'd5d4', 'd8c7', 'c8g4', 'c8f5', 'c8d7', 'b8c6', 'h7h6']",1
e7e5,e7,e5,p,,0,"['g7g6', 'd5d4', 'a7a5', 'c8f5', 'b7b6', 'd8c7', 'c8g4', 'h7h6', 'f6g4', 'h7h5']",1
e5e4,e5,e4,p,,0,"['d8b6', 'e5e4', 'e5f4', 'f8c5', 'f8d6', 'f6g4', 'f6d7', 'd8c7', 'f8e7', 'd8d6']",1
f8d6,f8,d6,b,,0,"['d8b6', 'f8d6', 'f8c5', 'g7g6', 'f8b4', 'd8c7', 'h7h5', 'c8f5', 'e4d3', 'h7h6']",1
d8b6,d8,b6,q,,0,"['d8b6', 'd6c7', 'e8g8', 'c8e6', 'c8d7', 'h7h6', 'd6b8', 'd8c7', 'c8f5', 'a7a6']",1
e8g8,e8,g8,k,,0,"['a7a5', 'c6e5', 'e8g8', 'c8f5', 'h7h6', 'c8e6', 'h7h5', 'b6c7', 'c6e7', 'd6e7']",1
c8f5,c8,f5,b,,0,"['c6e7', 'c6e5', 'd6a3', 'd6c7', 'f6e8', 'd6b8', 'f8d8', 'b6c7', 'c8e6', 'a7a5']",1
b6d4,b6,d4,q,P,1,"['c6d4', 'b6d4', 'd6a3', 'd6e5', 'f8e8', 'd6e7', 'h7h6', 'h7h5', 'a8e8', 'd5c4']",1
c6d4,c6,d4,n,Q,0,"['c6d4', 'd6e5', 'f5g4', 'f8c8', 'f8e8', 'a8c8', 'f5g6', 'h7h5', 'f5e6', 'd6c7']",1
f8e8,f8,e8,r,,0,"['a8d8', 'f8e8', 'f8c8', 'f8d8', 'a8c8', 'f5e6', 'd6c5', 'd6a3', 'd6e7', 'd4e6']",1
f6d5,f6,d5,n,P,0,"['f6d5', 'd6c5', 'a8d8', 'a7a5', 'd6a3', 'h7h5', 'd6c7', 'f5c8', 'b7b5', 'b7b6']",1
d4b3,d4,b3,n,B,0,"['f5e6', 'd4b3', 'd6e5', 'a8d8', 'e8d8', 'd4e2', 'd6a3', 'd6c5', 'd5f4', 'e4e3']",1
d6e5,d6,e5,b,N,0,"['f7f6', 'a8d8', 'd6b4', 'd6c5', 'e4e3', 'd6f8', 'f5e6', 'd5b4', 'h7h5', 'a8c8']",1
e8e5,e8,e5,r,P,0,"['d5e7', 'f5e6', 'e8e5', 'f5d7', 'f5g4', 'g7g6', 'f5g6', 'f5c8', 'f5h3', 'a8d8']",1
e5e6,e5,e6,r,,0,"['a8e8', 'e5e7', 'f5e6', 'e5e8', 'e5e6', 'e4e3', 'f7f6', 'd5c3', 'a8c8', 'a8d8']",1
d5b4,d5,b4,n,,0,"['d5c7', 'a8d8', 'd5e7', 'e4e3', 'd5b4', 'd5f6', 'd5b6', 'b7b5', 'a8c8', 'g7g6']",1
a7a6,a7,a6,p,,0,"['e6b6', 'a7a6', 'a8c8', 'e6a6', 'e6c6', 'b4d3', 'b4c6', 'b4a6', 'a8d8', 'g7g6']",1
