Move,From_Sqaure,Target_Sqaure,Piece_Moved,Piece_Captured,Is_Check,FEN,Top_10_Moves
h6g5,h6,g5,p,N,False,r1b2rk1/p3q1p1/1pp1pnQp/6N1/2PP4/3B4/PP4PP/R4RK1 b - - 1 18,"['h6g5', 'e7d7', 'c8d7', 'c8b7', 'a7a5', 'e7d8', 'c8a6', 'a8b8', 'b6b5', 'e7d6']"
e7f6,e7,f6,q,R,False,r1b2rk1/p3q1p1/1pp1pRQ1/6p1/2PP4/3B4/PP4PP/R5K1 b - - 0 19,"['f8f6', 'e7f6', 'f8f7', 'c8d7', 'e6e5', 'g5g4', 'a7a5', 'a7a6', 'b6b5', 'f8e8']"
g8f7,g8,f7,k,,False,r1b2rk1/p5pQ/1pp1pq2/6p1/2PP4/3B4/PP4PP/R5K1 b - - 1 20,['g8f7']
f7e7,f7,e7,k,,False,r1b2r2/p4kpQ/1pp1pq2/6p1/2PP4/3B4/PP4PP/5RK1 b - - 3 21,"['f6f1', 'c8d7', 'c8a6', 'c8b7', 'c6c5', 'f7e8', 'f6f4', 'f6f5', 'g5g4', 'a7a5']"
f8f6,f8,f6,r,R,False,r1b2r2/p3k1pQ/1pp1pR2/6p1/2PP4/3B4/PP4PP/6K1 b - - 0 22,"['e7f6', 'f8f6', 'f8f7', 'e7d6', 'c8d7', 'e7e8', 'c6c5', 'e7d8', 'f8g8', 'g5g4']"
f6f7,f6,f7,r,,False,r1b5/p3k1Q1/1pp1pr2/6p1/2PP4/3B4/PP4PP/6K1 b - - 0 23,"['f6f7', 'e7e8', 'e7d8', 'e7d6']"
e7d6,e7,d6,k,,False,r1b5/p3kr2/1pp1p3/6Q1/2PP4/3B4/PP4PP/6K1 b - - 0 24,"['e7d6', 'e7d7', 'f7f6', 'e7f8', 'e7e8']"
b6c5,b6,c5,p,P,False,r1b5/p4r2/1ppkp3/2P3Q1/3P4/3B4/PP4PP/6K1 b - - 0 25,"['d6d7', 'd6c7', 'b6c5']"
d6c7,d6,c7,k,,False,r1b5/p4r2/2pkp3/2Q5/3P4/3B4/PP4PP/6K1 b - - 0 26,"['d6d7', 'd6c7']"
c7b6,c7,b6,k,,False,r1b5/p1k2r2/2p1p3/4Q3/3P4/3B4/PP4PP/6K1 b - - 2 27,"['c7b7', 'c7b6', 'c7d7', 'c7d8']"
