Move,From_Sqaure,Target_Sqaure,Piece_Moved,Piece_Captured,Is_Check,FEN,Top_10_Moves
c4b5,c4,b5,P,p,False,8/6p1/p1p1k1p1/1p3pP1/1PPP3P/P2K4/8/8 w - - 1 46,"['d4d5', 'c4c5', 'c4b5', 'd3c3', 'a3a4', 'd3c2', 'd3e3', 'd3d2', 'd3e2', 'h4h5']"
d3e3,d3,e3,K,,False,8/6p1/2p1k1p1/1p3pP1/1P1P3P/P2K4/8/8 w - - 0 47,"['d3e3', 'd3c2', 'd3d2', 'd3e2', 'd3c3', 'a3a4', 'd4d5', 'h4h5']"
e3d3,e3,d3,K,,False,8/6p1/2p3p1/1p1k1pP1/1P1P3P/P3K3/8/8 w - - 2 48,"['e3d3', 'e3f3', 'e3f4', 'e3e2', 'e3f2', 'e3d2', 'h4h5', 'a3a4']"
d3c3,d3,c3,K,,False,8/6p1/2pk2p1/1p3pP1/1P1P3P/P2K4/8/8 w - - 4 49,"['d3d2', 'd3c2', 'd3e2', 'd3c3', 'd3e3', 'a3a4', 'd4d5', 'h4h5']"
c3d3,c3,d3,K,,False,8/6p1/2p3p1/1p1k1pP1/1P1P3P/P1K5/8/8 w - - 6 50,"['c3d3', 'c3d2', 'c3b2', 'c3c2', 'c3b3', 'h4h5', 'a3a4']"
d3e3,d3,e3,K,,False,8/6p1/2pk2p1/1p3pP1/1P1P3P/P2K4/8/8 w - - 8 51,"['d3d2', 'd3c2', 'd3e2', 'd3c3', 'd3e3', 'a3a4', 'd4d5', 'h4h5']"
e3d3,e3,d3,K,,False,8/6p1/2p3p1/1p1k1pP1/1P1P3P/P3K3/8/8 w - - 10 52,"['e3d3', 'e3f3', 'e3f4', 'e3f2', 'e3d2', 'e3e2', 'h4h5', 'a3a4']"
e2e4,e2,e4,P,,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"['d2d4', 'c2c4', 'f2f4', 'e2e3', 'g2g3', 'g1f3', 'e2e4', 'b2b3', 'd2d3', 'a2a3']"
b1c3,b1,c3,N,,False,rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"['e4e5', 'g1f3', 'd2d4', 'f1e2', 'b1c3', 'c2c4', 'g2g3', 'g1e2', 'h2h3', 'h2h4']"
d2d4,d2,d4,P,,False,rnbqkbnr/ppp2ppp/4p3/3p4/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 3,"['d2d4', 'e4d5', 'e4e5', 'g1f3', 'a2a4', 'h2h3', 'd2d3', 'g2g3', 'f1b5', 'd1e2']"
